Longo Doggo runtime room data (GeneralInfo.RoomOrder order; instances in stored creation order)
===================================================================
Rooms in runtime order: 11

RUNTIME ROOM 0: rm_title_screen  size=304x208
  id=100461 oFlower at (0,224) scale=(1,1) layerDepth=-300
  id=100458 oDog at (56,72) scale=(1,1) layerDepth=-400
  id=100462 oShadows at (0,0) scale=(1,1) layerDepth=20
  id=100459 oGoal at (152,64) scale=(1,1) layerDepth=-400
  id=100428 oTransition at (128,0) scale=(1,1) layerDepth=-600
  id=100460 oWin at (136,64) scale=(2,1) layerDepth=-400
  id=100429 oTitle at (56,16) scale=(1,1) layerDepth=-600
  id=100431 oButterfly at (56,96) scale=(1,1) layerDepth=-500
  id=100432 oButterfly at (256,96) scale=(1,1) layerDepth=-500
  id=100433 oButterfly at (224,160) scale=(1,1) layerDepth=-500
  id=100434 oBox at (256,144) scale=(1,1) layerDepth=-500
  id=100435 oBox at (224,64) scale=(1,1) layerDepth=-500
  id=100436 oApple at (48,160) scale=(1,1) layerDepth=-500
  id=100437 oApple at (32,144) scale=(1,1) layerDepth=-500
  id=100438 oButton at (144,104) scale=(1,1) layerDepth=-500
  id=100439 oFlower at (256,176) scale=(1,1) layerDepth=-500
  id=100440 oFlower at (264,120) scale=(1,1) layerDepth=-500
  id=100441 oFlower at (72,168) scale=(1,1) layerDepth=-500
  id=100442 oFlower at (8,96) scale=(1,1) layerDepth=-500
  id=100443 oDoor at (256,32) scale=(1,1) layerDepth=-500
  id=100444 oSkull at (240,16) scale=(1,1) layerDepth=-500
  id=100445 oSkull at (256,16) scale=(1,1) layerDepth=-500
  id=100446 oSkull at (272,16) scale=(1,1) layerDepth=-500
  id=100447 oBox at (32,128) scale=(1,1) layerDepth=-500
  id=100448 oBox at (16,112) scale=(1,1) layerDepth=-500
  id=100449 oSkull at (240,0) scale=(1,1) layerDepth=-500
  id=100450 oSkull at (256,0) scale=(1,1) layerDepth=-500
  id=100451 oSkull at (272,0) scale=(1,1) layerDepth=-500
  id=100452 oSkull at (288,128) scale=(1,1) layerDepth=-500
  id=100453 oSkull at (32,32) scale=(1,1) layerDepth=-500
  id=100454 oApple at (80,16) scale=(1,1) layerDepth=-500
  id=100455 oApple at (240,96) scale=(1,1) layerDepth=-500
  id=100456 oFlower at (80,48) scale=(1,1) layerDepth=-500
  id=100457 oFlower at (96,40) scale=(1,1) layerDepth=-500
  id=100430 obj_bloom_appsrf at (272,176) scale=(1,1) layerDepth=-600

RUNTIME ROOM 1: rm_tutorial  size=304x208
  id=100011 oDog at (40,56) scale=(1,1) layerDepth=300
  id=100010 oFlower at (0,0) scale=(1,1) layerDepth=300
  id=100012 oApple at (208,160) scale=(1,1) layerDepth=300
  id=100013 oSkull at (96,160) scale=(1,1) layerDepth=300
  id=100024 oShadows at (0,0) scale=(1,1) layerDepth=500
  id=100014 oGoal at (232,80) scale=(1,1) layerDepth=300
  id=100002 oBlock at (0,0) scale=(19,1) layerDepth=100
  id=100003 oBlock at (0,192) scale=(19,1) layerDepth=100
  id=100004 oBlock at (288,8) scale=(1,12,5) layerDepth=100
  id=100005 oBlock at (0,0) scale=(1,12,5) layerDepth=100
  id=100015 oSkull at (64,160) scale=(1,1) layerDepth=300
  id=100016 oSkull at (80,144) scale=(1,1) layerDepth=300
  id=100017 oApple at (176,160) scale=(1,1) layerDepth=300
  id=100018 oApple at (192,144) scale=(1,1) layerDepth=300
  id=100000 oTutorial at (408,88) scale=(0,6666667,0,6666667) layerDepth=0
  id=100019 oWin at (216,80) scale=(2,1) layerDepth=300
  id=100006 oButterfly at (32,112) scale=(1,1) layerDepth=100
  id=100007 oButterfly at (136,72) scale=(1,1) layerDepth=100
  id=100020 oFlower at (232,136) scale=(1,1) layerDepth=400
  id=100021 oFlower at (280,56) scale=(1,1) layerDepth=400
  id=100022 oFlower at (256,160) scale=(1,1) layerDepth=400
  id=100023 oFlower at (112,152) scale=(1,1) layerDepth=400
  id=100008 oBlock at (96,48) scale=(1,1) layerDepth=100
  id=100009 oBlock at (160,96) scale=(1,1) layerDepth=100
  id=100001 oApple at (328,96) scale=(1,1) layerDepth=0

RUNTIME ROOM 2: rm_level6  size=304x208
  id=100324 oFlower at (0,224) scale=(1,1) layerDepth=100
  id=100284 oDog at (24,88) scale=(1,1) layerDepth=0
  id=100285 oBlock at (304,-16) scale=(1,15) layerDepth=0
  id=100286 oBlock at (-16,-16) scale=(21,1) layerDepth=0
  id=100287 oBlock at (-16,208) scale=(21,1) layerDepth=0
  id=100288 oBlock at (-16,-16) scale=(1,15) layerDepth=0
  id=100325 oShadows at (0,0) scale=(1,1) layerDepth=300
  id=100289 oBlock at (176,0) scale=(1,9) layerDepth=0
  id=100290 oBlock at (176,80) scale=(4,1) layerDepth=0
  id=100291 oHouseSpawner at (240,32) scale=(1,1) layerDepth=0
  id=100292 oBlock at (256,80) scale=(3,1) layerDepth=0
  id=100293 oDoor at (240,80) scale=(1,1) layerDepth=0
  id=100294 oButton at (224,144) scale=(1,1) layerDepth=0
  id=100295 oButton at (240,128) scale=(1,1) layerDepth=0
  id=100296 oSkull at (272,64) scale=(1,1) layerDepth=0
  id=100297 oBox at (80,32) scale=(1,1) layerDepth=0
  id=100298 oButton at (32,32) scale=(1,1) layerDepth=0
  id=100299 oBox at (96,96) scale=(1,1) layerDepth=0
  id=100300 oButton at (128,32) scale=(1,1) layerDepth=0
  id=100301 oBlock at (192,0) scale=(1,3) layerDepth=0
  id=100302 oBlock at (288,0) scale=(1,3) layerDepth=0
  id=100303 oBlock at (272,0) scale=(1,1) layerDepth=0
  id=100304 oBlock at (208,0) scale=(1,1) layerDepth=0
  id=100306 oApple at (192,48) scale=(1,1) layerDepth=0
  id=100307 oSkull at (208,64) scale=(1,1) layerDepth=0
  id=100305 oApple at (288,48) scale=(1,1) layerDepth=0
  id=100308 oBox at (0,192) scale=(1,1) layerDepth=0
  id=100309 oButterfly at (264,168) scale=(1,1) layerDepth=0
  id=100310 oButterfly at (64,64) scale=(1,1) layerDepth=0
  id=100311 oFlower at (232,176) scale=(1,1) layerDepth=0
  id=100312 oFlower at (272,184) scale=(1,1) layerDepth=0
  id=100313 oFlower at (56,112) scale=(1,1) layerDepth=0
  id=100314 oFlower at (168,40) scale=(1,1) layerDepth=0
  id=100315 oBox at (208,16) scale=(1,1) layerDepth=0
  id=100316 oFlower at (160,120) scale=(1,1) layerDepth=0
  id=100317 oButton at (208,160) scale=(1,1) layerDepth=0
  id=100318 oSkull at (176,144) scale=(1,1) layerDepth=0
  id=100283 oTutorial at (416,96) scale=(1,1) layerDepth=-200
