RoomOrder found on: UndertaleModLib.Models.UndertaleGeneralInfo
  ORDER 0: rm_title_screen (UndertaleRoom)@10
  ORDER 1: rm_tutorial (UndertaleRoom)@0
  ORDER 2: rm_level6 (UndertaleRoom)@7
  ORDER 3: rm_level5 (UndertaleRoom)@5
  ORDER 4: rm_level4 (UndertaleRoom)@8
  ORDER 5: rm_level2 (UndertaleRoom)@9
  ORDER 6: rm_level1 (UndertaleRoom)@1
  ORDER 7: rm_level3 (UndertaleRoom)@6
  ORDER 8: rm_credits (UndertaleRoom)@3
  ORDER 9: rm_editor (UndertaleRoom)@2
  ORDER 10: rm_levelbase (UndertaleRoom)@4
